"strName","strCAS","CAS","httk","ToxCast","Tox21","NHANES","ExpoCast","Boiling Point Ave.exp","Boiling Point Ave.prd","Boiling Point Med.exp","Boiling Point Med.prd","Boiling Point Rng.exp","Boiling Point Rng.prd","MW","LogP Ave.exp","LogP Ave.prd","LogP Med.exp","LogP Med.prd","LogP Rng.exp","LogP Rng.prd"
"Piperonyl butoxide","51036","51-03-6","1","1","1","","1","      155 (2)","      368 (5)","      155","      368","          155","          318 to 408","338.44","                              4.75 (1)","                              4.28 (5)","                              4.75","                              4.28","                                  4.75","                                  4.00 to 4.47"
"Piperonyl butoxide","51036","51-03-6","1","1","1","","1","      155 (2)","      368 (5)","      155","      368","          155","          318 to 408","338.44","                              4.75 (1)","                              4.28 (5)","                              4.75","                              4.28","                                  4.75","                                  4.00 to 4.47"
"Piperonyl butoxide","51036","51-03-6","1","1","1","","1","      155 (2)","      368 (5)","      155","      368","          155","          318 to 408","338.44","                              4.75 (1)","                              4.28 (5)","                              4.75","                              4.28","                                  4.75","                                  4.00 to 4.47"
"Polybrominated Biphenyls","59536651","59536-65-1","","","1","","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polybrominated Biphenyls","59536651","59536-65-1","","","1","","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prallethrin","23031369","23031-36-9","","1","1","","1",""," 351 (5)",""," 351","","     318 to 390","300.39","                              4.49 (1)","                              4.57 (5)","                              4.49","                              4.57","                                  4.49","                                  4.38 to 4.88"
"Primisulfuron-methyl","86209510","86209-51-0","","","","","",""," 372 (3)",""," 372","","     254 to 559","468.34",""," 2.44 (5)",""," 2.44","","2.11 to 2.93"
"Primisulfuron-methyl","86209510","86209-51-0","","","","","",""," 372 (3)",""," 372","","     254 to 559","468.34",""," 2.44 (5)",""," 2.44","","2.11 to 2.93"
"Primisulfuron-methyl","86209510","86209-51-0","","","","","",""," 372 (3)",""," 372","","     254 to 559","468.34",""," 2.44 (5)",""," 2.44","","2.11 to 2.93"
"Prochloraz","67747095","67747-09-5","1","1","1","","1",""," 412 (4)",""," 412","","     314 to 501","376.66","                              4.10 (1)","                              3.90 (5)","                              4.10","                              3.90","                                  4.10","                                  3.59 to 4.13"
"Prochloraz","67747095","67747-09-5","1","1","1","","1",""," 412 (4)",""," 412","","     314 to 501","376.66","                              4.10 (1)","                              3.90 (5)","                              4.10","                              3.90","                                  4.10","                                  3.59 to 4.13"
"Prochloraz","67747095","67747-09-5","1","1","1","","1",""," 412 (4)",""," 412","","     314 to 501","376.66","                              4.10 (1)","                              3.90 (5)","                              4.10","                              3.90","                                  4.10","                                  3.59 to 4.13"
"Prometryne","7287196","7287-19-6","1","1","1","","1",""," 361 (4)",""," 361","","     339 to 401","241.36","                              3.51 (1)","                              3.47 (5)","                              3.51","                              3.47","                                  3.51","                                  3.12 to 3.73"
"Prometryne","7287196","7287-19-6","1","1","1","","1",""," 361 (4)",""," 361","","     339 to 401","241.36","                              3.51 (1)","                              3.47 (5)","                              3.51","                              3.47","                                  3.51","                                  3.12 to 3.73"
"Pronamide","23950585","23950-58-5","1","1","1","","1",""," 342 (5)",""," 342","","     312 to 382","256.13","                              3.43 (1)","                              3.40 (5)","                              3.43","                              3.40","                                  3.43","                                  3.11 to 3.64"
"Pronamide","23950585","23950-58-5","1","1","1","","1",""," 342 (5)",""," 342","","     312 to 382","256.13","                              3.43 (1)","                              3.40 (5)","                              3.43","                              3.40","                                  3.43","                                  3.11 to 3.64"
"Propachlor","1918167","1918-16-7","","","1","","1",""," 295 (4)",""," 295","","     275 to 323","211.69","                              2.18 (1)","                              2.29 (5)","                              2.18","                              2.29","                                  2.18","                                  2.12 to 2.42"
