"Compound" "ExpoCast.group" "css95" "oed.AC50p10" "exposure.median.95CI.upper" "aer"
"Diethylphthalate" "Age.6.11" 0.465898691726082 4.18438607925129 0.001096636279267 3815.65534385581
"Phorate" "Age.6.11" 481.414701154447 0.0178058542446753 3.85192633843909e-06 4622.58430723022
"Coumaphos" "Age.6.11" 23.6051320484535 0.0261807474210037 5.25890481364203e-06 4978.36495406586
"Dibutylphthalate" "Age.6.11" 0.662050337617208 3.27769638757389 0.000536349527633634 6111.12011608371
"Phosphonothioic acid" "Age.6.11" 19.0145054871053 0.100870359279167 1.33144128212502e-05 7576.02762009714
"Lindane" "Age.6.11" 40.7576975628743 0.15349247808587 1.74802596131804e-05 8780.90380134482
"Ethion" "Age.6.11" 15.7500906605778 0.065218672205555 5.20685692717495e-06 12525.5356768446
"Bisphenol-a" "Age.6.11" 1.17814001041814 0.662060530244759 4.91922361489609e-05 13458.6386404543
"Methidathion" "Age.6.11" 1.65490252828743 0.386608872162456 1.77987904531359e-05 21721.075551757
"Chlorpyrifos" "Age.6.11" 75.9145638642018 0.121557702900162 4.83646608405466e-06 25133.5791025032
"Quintozene" "Age.6.11" 17.3596866764455 0.511414760270189 1.72998301363755e-05 29561.8370954327
